battery_id,formula_charge,formula_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_voltage_step,stability_charge,stability_discharge,fracA_charge,fracA_discharge,max_delta_volume,num_steps
mp-31257_Na,Mo15S19,Na17(Mo15S19)4,1.692320103022309,53.07739567756354,244.3185580904383,89.8239437212102,413.4652073978726,0.0,0.082155104411764,0.0,0.0,0.11111111111111101,0.077575202240742,1
mp-3136_Na,NbO3,NaNbO3,4.182213449051726,163.52901282505943,683.2366310799882,683.9132367471158,2857.4414273875195,0.0,0.188615306607143,0.036025795500000006,0.0,0.2,0.024702532977816,1
mp-32578_Na,Ce2Se3,Na(Ce2Se3)4,1.3062331915517151,12.814859489981664,82.95762843869018,16.739194810885543,108.36200775903166,0.0,0.0,0.0,0.0,0.047619047619047006,0.015128099222686,1
mp-32686_Na,CoO2,NaCoO2,2.606248111551721,235.26216710874036,1029.9297811203285,613.1515787467201,2684.252547075734,0.0,0.008334681666666,0.11266703500000501,0.0,0.25,0.285067474507051,1
mp-3332_Na,Na2(CrSe2)3,NaCrSe2,1.776473426551717,38.35810182058729,175.20220392764173,68.14214857723837,311.24205955075047,0.0,0.0,0.0,0.18181818181818102,0.25,0.027266534558452002,1
mp-3744_Na,NbO2,NaNbO2,2.268371046551721,181.21971896837647,981.2687577253805,411.0735635721049,2225.8816389100284,1.7129463975000032,0.283371129166665,0.0,0.0,0.25,0.14959133700964802,2
mp-4541_Na,CuO2,NaCuO2,4.161823956551723,226.10687589418717,920.5041396460786,941.0170128374955,3830.9761804840828,0.0,0.28562952687500004,0.007680086249999001,0.0,0.25,0.18510130620221202,1
mp-504778_Na,NaMoF6,Na3MoF6,3.062632396551724,192.19438778095326,580.1327855035025,588.6207584533723,1776.7334631848194,0.0,0.0,0.06076563149999901,0.125,0.30000000000000004,0.0045451930117740005,1
mp-505090_Na,CuO,Na(CuO)2,2.471841064051726,147.1957235818452,724.3915018383163,363.844434002412,1790.580660694052,0.0,0.15278473625000003,0.0,0.0,0.2,0.08980882192238701,1
mp-510746_Na,Fe5O8,NaFe5O8,3.894237176551716,62.29860546983345,277.75098993779085,242.60554546795348,1081.6282308397867,0.0,0.16345176730769,0.08382861660714201,0.0,0.07142857142857101,0.07381057692186001,1
mp-510751_Na,CuO,Na(CuO)2,2.493116836551724,147.1957235818452,734.0017091877687,366.97613673031185,1829.9520192337684,0.0,0.179534246562499,0.01714445375,0.0,0.2,0.160281934601977,1
mp-531997_Na,WO3,Na3(WO3)4,2.076462611551727,80.70125394527919,545.2574541587533,167.57313652271353,1132.2067172305308,0.380213084999993,0.010663485937499,0.022406434824603003,0.0,0.157894736842105,0.10860123268525101,2
mp-540003_Na,FeO2,Na(FeO2)2,3.8420038315517253,134.8995169529954,550.5592025707001,518.2844610078853,2115.2505657726924,0.0,0.258179855833334,0.09286287678571101,0.0,0.14285714285714202,0.095778025025538,1
mp-542710_Na,MnO2,NaMn2O4,3.183568416551725,136.14248801370493,599.1116922674862,433.4189249912029,1907.3130614896259,0.0,0.025369589583334,0.0,0.0,0.14285714285714202,0.136504197715484,1
mp-5449_Na,Na2Ti6O13,Na3Ti6O13,0.44048034655171203,47.506584124836635,168.42723749527167,20.925716638796143,74.18888794066491,0.0,0.0,0.020273800909089,0.09523809523809501,0.13636363636363602,0.0025772227637560004,1
mp-558110_Na,TiS2,NaTiS2,1.503396686551724,198.54894882157072,595.2357153721041,298.49783177667734,894.8754022076668,0.0,0.0019210499999990003,0.016350052499999,0.0,0.25,0.159455665859389,1
mp-558418_Na,CrF6,Na3CrF6,5.127144469885056,342.21089320931486,967.8833308375773,1754.564688652564,4962.4776671978125,1.002353380000002,0.0,0.085079429499997,0.0,0.30000000000000004,0.195681074683196,2
mp-560242_Na,MnF3,NaMnF3,3.78776930655172,198.64275476957155,667.8890055260309,752.4129294850634,2529.809475314852,0.0,0.0018928274999980002,0.0,0.0,0.2,0.18908059493695,1
mp-560778_Na,V2O5,Na9V14O35,3.211356015440613,162.97450034225784,501.88298983765935,523.369142037538,1611.7249584624876,0.0,0.025970106530612002,0.003735386063231,0.0,0.155172413793103,0.061296319991463004,1
mp-561_Na,Nb3Se4,Na(Nb3Se4)2,0.8024059965517301,22.111462060898074,142.78643351817877,17.7423697501907,114.57269048122166,0.0,0.0,0.012813839533337002,0.0,0.066666666666666,0.0017519784366370002,1
mp-568488_Na,Mo15Se19,Na2Mo15Se19,1.7052399915517111,17.955519199322875,110.133244150532,30.618469407759925,187.8036123248157,0.0,0.065439831029411,0.043365360416668004,0.0,0.055555555555555004,0.005566743581220001,1
mp-570170_Na,Mo15Se19,Na3Mo15Se19,1.6214539415517342,26.727452269136176,159.83954928284348,43.337332829426686,259.1724672005192,0.0,0.063813381470589,0.038521924324316004,0.0,0.081081081081081,0.047970429970887005,1
mp-5955_Na,NaSbF6,Na3SbF6,2.037283706551722,175.90906506585125,520.8621303912654,358.37667209340555,1061.1439316059436,0.0,0.0,0.19167161900000002,0.125,0.30000000000000004,0.12507898458414402,1
mp-637292_Na,CrS2,NaCrS2,2.159152006551721,192.65581478285748,607.5659722911892,415.97318906226354,1311.8272881850687,0.27955071999999603,0.0,0.005463292499999,0.0,0.25,0.27648736328646,2
mp-642750_Na,VO2,NaV2O4,2.492623141551722,141.90410728551464,596.2127858854733,353.7134617011121,1486.1337873871526,0.0,0.05939107749999901,0.011000901630964,0.0,0.14285714285714202,0.07611131512011801,1
mp-7002_Na,TiO2,NaTiO2,1.103220296551726,260.5739420138076,1014.2892309824048,287.47046158212504,1118.9844661936306,0.0,0.152601063333333,0.007612252040229001,0.0,0.25,0.15813135100774,1
mp-7433_Na,CuSe,NaCuSe,1.617357171551722,161.94662414613654,774.8641801913951,261.9255339713453,1253.232138811099,0.0,0.044356246666666,0.0,0.0,0.33333333333333304,0.48800728419287803,1
mp-7469_Na,CuO,NaCuO,2.9905996865517253,261.3881786470279,957.7380818069473,781.7074051301281,2864.2112072505074,0.0,0.5894081550000001,0.0,0.0,0.33333333333333304,0.312845470854881,1
mp-752583_Na,VO2,NaV5O10,2.143013756551727,61.23375773396668,231.2926770790579,131.22478518924635,495.6633887700976,0.0,0.051628716999999005,0.059211158541666004,0.0,0.0625,0.091954338633161,1
mp-752584_Na,Na5Cu7O13,Na7Cu7O13,2.982477596551721,65.87213608018642,265.61530344365434,196.4621700961623,792.1916918219863,0.0,0.08704904724999801,0.043017683333333,0.2,0.259259259259259,0.0031385253174570004,1
mp-752755_Na,SbO3,NaSbO3,4.817621269051724,139.0493567609528,693.1572132952572,669.8871385795273,3339.368933567853,0.0,0.22257571249999902,0.051584077500000006,0.0,0.2,0.10329944554876501,1
mp-752972_Na,NaV3O8,Na4V3O8,1.9680135098850582,215.689433978182,765.1309352123674,424.4797200085235,1505.7880173289282,1.118248796363641,0.0,0.09604670209444201,0.08333333333333301,0.266666666666666,0.11692285696601401,2
mp-753049_Na,Ni5O6,NaNi5O6,2.954215496551715,64.98066481620197,385.11638705733026,191.96688697625663,1137.7167986207733,0.0,0.040714679545455004,0.032538302708332,0.0,0.08333333333333301,0.043142291111803004,1
mp-753301_Na,Na2(NiO2)5,Na4(NiO2)5,2.9327465765517253,98.2783079305942,443.6390644179244,288.22537113274643,1301.0809473962781,0.0,0.008296108725491,0.0,0.11764705882352901,0.210526315789473,0.017526944036961003,1
mp-753365_Na,VO2,NaV3O6,1.8385786265517372,98.6034919687237,384.36006332058844,181.29027283706125,706.6761973213062,0.0,0.06011647833333401,0.101843121666655,0.0,0.1,0.083260291999756,1
mp-754549_Na,NaCuO2,Na2CuO2,1.6143534265517232,189.37718711895806,706.7934963073355,305.7217109362169,1141.0145026282203,0.0,0.08640139624999901,0.047826573000001,0.25,0.4,0.091769341762147,1
mp-754584_Na,Na5CuO4,Na6CuO4,0.9746425815517231,100.95396061357707,293.46340347755927,98.39402879028779,286.02192915632344,0.0,0.09336979049999801,0.10188629522726901,0.5,0.5454545454545451,0.043462669459948006,1
mp-754638_Na,Na4Ti3O8,Na5Ti3O8,0.79549412655172,69.33598398161723,249.64316216150874,55.15636801606066,198.58966923327884,0.0,0.082707457200013,0.04411588005028701,0.266666666666666,0.3125,0.002133851394673,1
