formula_discharge,composite_score,confidence_rank_sigma,average_voltage_pred,average_voltage_sigma,average_voltage_lcb,average_voltage_ucb,average_voltage_epi_frac,capacity_grav_pred,capacity_grav_sigma,capacity_grav_lcb,capacity_grav_ucb,capacity_grav_epi_frac,max_delta_volume_pred,max_delta_volume_sigma,max_delta_volume_lcb,max_delta_volume_ucb,max_delta_volume_epi_frac,framework,substitution
NaMnO,-1.4389056284513506,0.3199997550688858,1.5783624816563122,0.15340801696071374,0.9395561662392958,2.2171687970733287,0.5851728949258149,179.06505655284644,22.833699217228688,79.489531715154,278.6405813905389,0.9696611332216535,0.13799873814063798,0.03513283154879307,-0.00879686277105704,0.284794339052333,0.8779736312986604,Na1O1,Mn->slot1.0
NaTi4(PO4)3,-1.4571636691572474,0.27095214203744095,1.9670854493733565,0.17460508027502503,1.2400124437158682,2.694158455030845,0.6363311201664255,76.07534973651634,13.006523633237595,19.35517466666741,132.79552480636528,0.876306112324723,0.02057290653808589,0.03446150676957005,-0.1234176963125764,0.16456350938874817,0.9179286215312026,Na1O12P3,Ti->slot4.0
NaFeNiO4,-1.4980740015055665,0.3367697294116037,3.6758523571316237,0.37913828766639684,2.0970826332539483,5.254622081009299,0.9141837856624644,91.15175062698705,19.4603498100709,6.287072003175155,176.01642925079895,0.9112370427278068,0.07749322341404671,0.028151992007212412,-0.04013431758903392,0.19512076441712733,0.8820996672533012,Na1O4,Fe/Ni mix slot2.0
Na3FeCoO5,-1.4986182660403724,0.3990470384626106,2.7677140363626354,0.18799052754345486,1.9849026904335028,3.550525382291768,0.6263081816955166,191.90109133306095,28.499999464511898,67.61538635138868,316.1867963147332,0.9573558389563411,0.14862697741900094,0.04399860956342918,-0.03521252669761274,0.33246648153561464,0.864036369553943,Na3O5,Fe/Co mix slot2.0
Na2Cr3O7,-1.5117187442130964,0.5205538811124013,4.009410478737179,1.1807104407925126,-0.9071858061246543,8.926006763599013,0.9464430081475994,142.36319733325575,14.302151332884504,79.9929168223555,204.73347784415603,0.9221411287986919,0.06890347010006126,0.023405523813702332,-0.028891890575997142,0.16669883077611966,0.45471286038336944,Na2O7,Cr->slot3.0
NaCoO,-1.5235903090186271,0.3282887413728008,1.8396397214950828,0.18508186240700827,1.0689403479087725,2.610339095081393,0.777980204627505,173.22566952328492,29.461872528231112,44.74533036359861,301.70600868297123,0.9615697180149659,0.10593763855774332,0.026905968223858757,-0.006483638049208748,0.2183589151646954,0.9038309970816829,Na1O1,Co->slot1.0
Na2VO2,-1.524307540811609,0.30659452426168227,1.466100255787127,0.22150696641264614,0.5437231085126137,2.38847740306164,0.776504549158082,164.5801756753878,26.967688835385108,46.976727197933144,282.18362415284247,0.9631365323997935,0.09372652999728101,0.02258195338929204,-0.0006277042447606768,0.18808076423932268,0.8526843957734112,Na2O2,V->slot1.0
Na2Ti5(Si2O7)2,-1.5537053609769034,0.2531566142396444,1.6099406244553005,0.21479845514114362,0.7154983886162144,2.5043828602943865,0.8101676790331572,74.98390870101068,14.05440275925747,13.69403544309234,136.27378195892902,0.9269707307680908,0.012802397790325968,0.026487885575160495,-0.09787200300443377,0.1234767985850857,0.9452272279909464,Na2O14Si4,Ti->slot5.0
Na3Co3Ni3O13,-1.5664400846239142,0.3518338916034584,3.7500809261511607,0.3236586336936707,2.4023340264848447,5.097827825817477,0.9194293112730112,85.34252788920305,17.351965024023873,9.67230871907573,161.01274705933037,0.9286706729009276,0.07145261353356383,0.03779567900944742,-0.08646916980894542,0.22937439687607308,0.908790965675012,Na3O13,Ni/Co mix slot6.0
Na4(CuO2)5,-1.572877391904371,0.2844487320824747,3.0953184473603157,0.2283360357570184,2.1445043727854323,4.046132521935199,0.8540083763199154,73.92084142471819,21.955352349410898,-21.824298790647816,169.6659816400842,0.9209692531342939,0.04124339601079265,0.023156198846768485,-0.0555102095111868,0.1379970015327721,0.7618974436774052,Na4O10,Cu->slot5.0
Na7Cr11O24,-1.5809915110265838,0.5339418181802383,4.051470346754319,1.2728493459784742,-1.2488015483820094,9.351742241890648,0.9369698277381115,139.00239697909223,12.095745045756594,86.25403808307306,191.7507558751114,0.8913058307109597,0.06765062038752614,0.02305104529734199,-0.028663621786963883,0.16396486256201617,0.525529428853969,Na7O24,Cr->slot11.0
NaCrF3,-1.594037768886944,0.3715627436809192,3.7977983458514877,0.4269273945771146,2.0200300043818555,5.575566687321119,0.896130147625451,167.3990384714106,30.596397115359476,33.97114875805258,300.8269281847686,0.970108626809078,0.1818800014896522,0.01944151813835523,0.10064745597757499,0.26311254700172937,0.5862505210705743,F3Na1,Cr->slot1.0
Na5Co6(NiO4)6,-1.5979385672436486,0.33571797231969486,3.7390750298603814,0.26984202597583506,2.615425863582259,4.862724196138504,0.9027069339120645,80.83556264353417,18.25682701861016,1.2193289814306212,160.45179630563774,0.9359160551373289,0.07357820390682293,0.036577556742001915,-0.0792538960156284,0.22641030382927427,0.9345261269923061,Na5O24,Ni/Co mix slot12.0
Na9Cr15O32,-1.608159806466146,0.5390925453725922,4.150896786643467,1.3498364755982477,-1.4699572109232326,9.771750784210166,0.9261163596019486,136.57192616674098,10.521931544692357,90.68681373263863,182.45703860084333,0.8450316565869431,0.07368735448070773,0.021053194950091725,-0.014279264421546603,0.16165397338296206,0.47874277706246254,Na9O32,Cr->slot15.0
